Alpha,train_score,test_score
3.77,0.6054358257311566,0.604157039110546
3.7800000000000002,0.6054342516085598,0.6041558576725815
3.79,0.6054326746727101,0.6041546738103766
3.8000000000000003,0.6054310949291177,0.6041534875287664
3.81,0.6054295123832825,0.6041522988325767
3.8200000000000003,0.6054279270406933,0.6041511077266242
3.83,0.6054263389068288,0.6041499142157161
3.84,0.6054247479871575,0.6041487183046501
3.85,0.6054231542871367,0.6041475199982144
3.86,0.6054215578122139,0.6041463193011887
3.87,0.6054199585678256,0.6041451162183427
3.88,0.6054183565593984,0.6041439107544373
3.89,0.6054167517923483,0.604142702914224
3.9,0.6054151442720812,0.604141492702445
3.91,0.6054135340039923,0.6041402801238334
3.92,0.6054119209934665,0.6041390651831132
3.93,0.6054103052458788,0.6041378478849995
3.94,0.6054086867665938,0.6041366282341973
3.95,0.6054070655609652,0.6041354062354038
3.96,0.6054054416343375,0.6041341818933063
3.97,0.6054038149920443,0.6041329552125831
3.98,0.6054021856394094,0.6041317261979037
3.99,0.6054005535817462,0.6041304948539283
4.0,0.6053989188243578,0.6041292611853082
4.01,0.6053972813725379,0.6041280251966861
4.0200000000000005,0.6053956412315691,0.604126786892695
4.03,0.6053939984067247,0.6041255462779591
4.04,0.6053923529032678,0.6041243033570944
4.05,0.6053907047264511,0.604123058134707
4.0600000000000005,0.6053890538815176,0.6041218106153949
4.07,0.6053874003737003,0.6041205608037467
4.08,0.605385744208222,0.6041193087043422
4.09,0.6053840853902959,0.6041180543217524
4.1,0.6053824239251253,0.6041167976605397
4.11,0.6053807598179028,0.6041155387252577
4.12,0.6053790930738123,0.6041142775204509
4.13,0.6053774236980267,0.6041130140506548
4.14,0.6053757516957099,0.604111748320397
4.15,0.6053740770720155,0.6041104803341957
4.16,0.6053723998320875,0.6041092100965606
4.17,0.6053707199810601,0.6041079376119927
4.18,0.6053690375240575,0.6041066628849843
4.19,0.6053673524661944,0.6041053859200191
4.2,0.605365664812576,0.6041041067215718
4.21,0.605363974568297,0.6041028252941091
4.22,0.6053622817384434,0.6041015416420886
4.23,0.6053605863280908,0.6041002557699597
4.24,0.6053588883423053,0.6040989676821626
4.25,0.6053571877861437,0.6040976773831299
4.26,0.605355484664653,0.6040963848772847
4.2700000000000005,0.6053537789828706,0.6040950901690423
4.28,0.6053520707458241,0.6040937932628088
4.29,0.6053503599585319,0.6040924941629828
4.3,0.605348646626003,0.6040911928739534
4.3100000000000005,0.6053469307532363,0.604089889400102
4.32,0.6053452123452217,0.6040885837458012
4.33,0.6053434914069394,0.6040872759154152
4.34,0.6053417679433606,0.6040859659133002
4.3500000000000005,0.6053400419594465,0.6040846537438034
4.36,0.6053383134601488,0.6040833394112641
4.37,0.6053365824504107,0.6040820229200133
4.38,0.6053348489351651,0.6040807042743733
4.39,0.605333112919336,0.6040793834786582
4.4,0.605331374407838,0.6040780605371742
4.41,0.6053296334055764,0.6040767354542187
4.42,0.605327889917447,0.6040754082340813
4.43,0.6053261439483368,0.604074078881043
4.44,0.605324395503123,0.6040727473993769
4.45,0.6053226445866738,0.6040714137933474
4.46,0.6053208912038485,0.6040700780672115
4.47,0.6053191353594966,0.6040687402252174
4.48,0.6053173770584588,0.6040674002716051
4.49,0.6053156163055666,0.604066058210607
4.5,0.6053138531056423,0.604064714046447
4.51,0.6053120874634993,0.6040633677833409
4.5200000000000005,0.6053103193839415,0.6040620194254969
4.53,0.605308548871764,0.604060668977114
4.54,0.6053067759317527,0.6040593164423844
4.55,0.6053050005686845,0.6040579618254918
4.5600000000000005,0.6053032227873274,0.6040566051306115
4.57,0.6053014425924403,0.6040552463619115
4.58,0.605299659988773,0.6040538855235513
4.59,0.6052978749810665,0.6040525226196825
4.6000000000000005,0.6052960875740527,0.604051157654449
4.61,0.6052942977724545,0.6040497906319864
4.62,0.6052925055809864,0.6040484215564228
4.63,0.6052907110043533,0.6040470504318782
4.64,0.6052889140472515,0.6040456772624645
4.65,0.6052871147143686,0.6040443020522863
4.66,0.6052853130103835,0.6040429248054394
4.67,0.6052835089399655,0.6040415455260129
4.68,0.6052817025077759,0.6040401642180875
4.69,0.6052798937184671,0.6040387808857357
4.7,0.6052780825766821,0.6040373955330232
4.71,0.6052762690870559,0.6040360081640068
4.72,0.6052744532542145,0.6040346187827366
4.73,0.6052726350827748,0.6040332273932545
4.74,0.6052708145773458,0.6040318339995943
4.75,0.605268991742527,0.6040304386057826
4.76,0.6052671665829099,0.6040290412158382
4.7700000000000005,0.6052653391030769,0.6040276418337724
4.78,0.6052635093076018,0.6040262404635883
4.79,0.60526167720105,0.6040248371092818
4.8,0.6052598427879785,0.6040234317748412
4.8100000000000005,0.6052580060729351,0.6040220244642468
4.82,0.6052561670604597,0.6040206151814718
